Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Landen Roupp","SFG","A,A+,AA,CPX","22-24",10,3,2.466666666666667,38,21,0,0,0,1,,135,538,89,38,37,7,45,0,4,4,2,195,"sa3017869"
"Matt Mikulski","SFG","A,A+,CPX","22-24",4,8,6.967741740617116,36,29,0,0,0,1,,113.2,540,138,102,88,17,56,0,20,13,4,133,"sa3017874"
"Ben Casparius","LAD","A,A+,AA,CPX","22-24",6,6,4.299765615898078,43,25,0,0,0,1,,142.1,622,124,81,68,20,68,0,5,9,2,171,"sa3017886"
"Jordan Wicks","CHC","A+,AA","21-23",8,6,3.7302635323638444,39,39,0,0,0,0,,152,638,141,74,63,18,44,0,7,9,0,185,"sa3017894"
"Landon Marceaux","LAA","A+,AA,CPX","21-23",7,12,3.9705880575272783,31,31,1,0,0,0,,147.1,608,142,80,65,12,33,0,3,14,1,118,"sa3017913"
"Mike Vasil","NYM","A,A+,AA,CPX","21-23",5,4,3.479381580131829,31,30,0,0,0,0,,129.1,512,89,56,50,12,34,0,3,11,1,152,"sa3017915"
"Keyshawn Askew","NYM","A,A+,CPX","21-23",10,5,3.279660645862765,34,18,0,0,1,0,,118,488,78,55,43,8,53,0,17,10,0,155,"sa3017916"
"Jamison Hill","ARI","A,A+,AA","22-24",9,12,4.567669303941922,41,38,0,0,0,1,,177.1,781,153,98,90,17,94,0,16,18,0,184,"sa3017935"
"Dominic Hamel","NYM","A,A+,AA,CPX","22-24",12,6,3.6842105263157894,38,36,0,0,0,0,,171,718,131,74,70,12,75,0,9,17,3,215,"sa3017949"
"Brock Selvidge","NYY","A,CPX","18-20",6,4,2.9690717489766345,24,20,0,0,0,0,,97,405,85,40,32,4,30,0,4,16,0,113,"sa3017950"
"Chase Petty","MIN","A,A+,CPX","18-20",1,6,3.064865038657912,32,26,0,0,0,0,,123.1,501,103,46,42,7,37,0,12,8,1,125,"sa3017963"
"Eric Silva","SFG","A,A+,CPX","18-20",4,11,5.710183222613479,36,34,0,0,0,1,,127.2,557,116,82,81,15,66,0,8,16,1,143,"sa3017965"
"Mike Paredes","MIN","A,A+,CPX","20-22",9,5,3.1095507783791194,38,17,0,0,1,1,,118.2,471,104,44,41,14,27,0,1,3,0,93,"sa3017968"
"Jacob Steinmetz","ARI","A,CPX","17-19",0,12,6.942857535401191,21,17,0,0,0,0,,58.1,287,67,52,45,1,47,0,10,16,0,56,"sa3017976"
"Pierson Ohl","MIN","A,A+,AA,CPX","21-23",8,12,4.239130899845366,30,26,1,0,0,0,,138,579,156,73,65,12,18,0,6,9,1,145,"sa3017977"
"Jaylen Nowlin","MIN","A,A+,CPX","20-22",7,8,4.142045504694001,33,23,0,0,0,2,,117.1,519,107,60,54,10,55,1,11,17,1,163,"sa3017978"
"Luke Anderson","OAK","A,A+,CPX","22-24",10,7,5.906250160018156,41,13,0,0,1,1,,117.1,571,137,92,77,19,80,1,8,19,2,130,"sa3017984"
"Travis Adams","MIN","A,A+,AA,CPX","21-23",8,14,4.712264706064764,34,34,0,0,0,0,,141.1,598,141,81,74,14,43,0,3,7,1,144,"sa3017991"
"Blake Beers","OAK","A,A+,AA,CPX","22-24",7,8,4.090909036344128,28,24,0,0,0,0,,143,615,136,69,65,17,50,0,13,12,0,151,"sa3018004"
"Jorge Marcheco","LAA","A,CPX,DSL","18-20",10,6,2.908839610414686,26,23,0,0,0,0,,120.2,479,81,42,39,9,30,0,12,7,4,161,"sa3018025"
"Jose Cabrera","ARI","A,CPX,DSL","19-21",7,11,4.5,25,25,1,1,0,0,,122,531,124,77,61,17,40,0,11,9,0,108,"sa3018042"
"Jack Leiter","TEX","AA","22-23",5,13,4.964125900208744,35,34,0,0,0,0,,148.2,659,129,95,82,20,90,0,11,6,0,185,"sa3018053"
"Brant Hurter","DET","A,A+,AA","23-24",9,8,3.284536017889121,37,30,0,0,0,0,,161.2,663,146,67,59,12,34,0,8,16,1,203,"sa3018091"
"Zach Messinger","NYY","A,A+","22-23",1,12,3.694030271391259,41,26,0,0,2,1,,134,572,110,65,55,8,69,0,7,13,2,173,"sa3018093"
"Noah Cameron","KCR","A,A+,AA,CPX","22-23",4,8,3.792134729874677,30,30,0,0,0,0,,118.2,487,102,57,50,15,33,0,5,10,2,173,"sa3018097"
"Gavin Williams","CLE","A+,AA,AAA","22-23",9,5,2.0606654004932223,36,36,0,0,0,0,,170.1,665,101,42,39,13,61,0,8,6,4,225,"sa3018106"
"Rodney Boone","CLE","A,A+","22-23",9,7,4.392625019636176,33,33,1,1,0,0,,153.2,648,144,83,75,26,49,0,3,12,0,181,"sa3018107"
"Doug Nikhazy","CLE","A+,AA","22-23",6,8,3.813211927939915,35,32,0,0,0,0,,146.1,650,106,71,62,13,111,0,7,9,0,180,"sa3018110"
"Carlos F. Rodriguez","MIL","A,A+,AA","20-21",9,7,3.186335705711953,37,31,0,0,1,0,,161,656,113,66,57,12,67,0,12,7,4,203,"sa3018116"
"Chandler Champlain","KCR","A,A+","22-23",8,11,4.985477494076139,34,32,0,0,0,0,,160.2,684,173,93,89,19,47,0,4,14,3,173,"sa3018138"
"Trenton Denholm","CLE","A,A+","22-23",7,6,4.298507952164374,33,26,0,0,0,0,,134,581,140,73,64,12,48,0,4,9,1,135,"sa3018139"
