Name,Team,Level,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,K%,BB%,ERA,FIP,WHIP,Pitches,Strikes,Oppo%,PlayerId
"Seth Maness","STL","AA,AAA",10,7,5.429889203351552,55,22,0,0,2,2,,180.2,789,237,116,109,29,26,2,8,1,0,112,5.5793356951869155,0.14195184,0.03295311,5.429889203351552,5.1740160249927305,1.4557195315815068,2720,1870,0.30685358,"12235"
"Matt Tracy","NYY","A+,AA,AAA,R",13,20,4.026823866425591,87,47,0,0,0,0,,310.2,1341,325,163,139,23,112,0,13,5,1,241,6.981759365529263,0.17971663,0.08351976,4.026823866425591,3.8804203263189203,1.406652301860898,5092,3145,0.32613169,"12240"
"Ryan Sherriff","STL","A,A+,AA,AAA,R",21,10,2.931428779103819,205,4,0,0,13,9,,233.1,983,209,91,76,16,83,5,8,7,2,212,8.177143436447496,0.21566633,0.0844354,2.931428779103819,3.823430580365814,1.2514286600852562,3575,2322,0.37666174,"12249"
"Colton Murray","PHI","AA,AAA",12,7,3.71511594948738,124,0,0,0,6,6,,172,725,155,80,71,13,64,0,5,7,1,178,9.313952662095122,0.24551724,0.08827586,3.71511594948738,3.362576765894446,1.2732557009980223,2910,1805,0.29769392,"12264"
"Aaron Brooks","KCR","AAA",32,26,4.8220989353001755,116,77,2,0,0,4,,479.2,2051,558,279,257,67,111,2,5,10,2,378,7.092425671375356,0.18430034,0.05411994,4.8220989353001755,4.6593269259305945,1.3947186284979756,7552,4996,0.30803859,"12272"
"Leonel Campos","SDP","A+,AAA",7,2,3.172499757957477,102,1,0,0,11,2,,133.1,553,98,49,47,7,65,0,0,23,0,171,11.542499119377203,0.30922242,0.11754069,3.172499757957477,3.1586275825850407,1.222499906730659,2197,1358,0.3164557,"12277"
"Evan Marshall","ARI","AA,AAA,R",9,4,4.005115297099697,116,3,0,0,7,8,,130.1,579,148,67,58,7,44,4,7,8,0,122,8.424552866313155,0.21070812,0.07599309,4.005115297099697,3.5980932066212756,1.4731458564044861,2046,1284,0.30049261,"12297"
"Chris Bassitt","OAK","A+,AAA",11,15,4.281004812123939,58,36,1,0,0,3,,212.1,900,203,108,101,12,66,0,16,7,1,214,9.070643859351714,0.23777778,0.07333333,4.281004812123939,3.58218556018888,1.2668760115086246,3436,2217,0.35596026,"12304"
"Justin Hancock","SDP","AA,AAA",12,16,4.206677431330375,87,26,0,0,4,5,,209.2,944,244,116,98,13,88,5,7,20,1,180,7.726550384076199,0.19067797,0.09322034,4.206677431330375,3.849760259429664,1.5834658811810483,3467,2191,0.26876877,"12316"
"Colin Rea","SDP","AA,AAA",26,15,3.5397829712857134,72,69,1,0,0,0,,368.2,1545,351,171,145,36,124,4,8,10,0,316,7.714285647767485,0.20453074,0.0802589,3.5397829712857134,4.233732327183444,1.288426752000547,6010,3781,0.31689498,"12317"
"Jacob Barnes","MIL","AA,AAA",11,8,2.628318621780106,140,6,0,0,8,5,,188.1,790,164,70,55,7,71,2,3,18,1,201,9.605309872323659,0.25443038,0.08987342,2.628318621780106,3.0886297131046323,1.2477876285218683,3151,1986,0.3307393,"12323"
"Kevin Quackenbush","SDP","AAA",10,15,3.168594781596714,186,0,0,0,67,14,,201.2,835,179,81,71,16,62,1,8,8,0,243,10.844627210253542,0.29101796,0.0742515,3.168594781596714,3.354100760471747,1.1950412243580721,3465,2255,0.36276392,"12360"
"Spencer Patton","TEX","AAA",10,3,3.2684212166847035,113,0,0,0,29,6,,126.2,543,110,51,46,13,55,0,11,6,1,171,12.15000060984966,0.31491713,0.10128913,3.2684212166847035,4.025792834852489,1.30263164433086,2294,1462,0.34754098,"12361"
"Nick Tropeano","LAA","A+,AAA,R",13,16,4.533834484873085,69,47,1,0,0,0,,266,1169,272,151,134,30,114,1,9,11,3,289,9.77819526961434,0.24721985,0.09751925,4.533834484873085,4.411550575103698,1.4511277870323473,4474,2811,0.2934927,"12385"
